attr_name	tumor_breast_1	tumor_breast_2	tumor_breast_3	tumor_breast_4	tumor_breast_5	tumor_breast_6	normal_breast_1	normal_breast_2	normal_breast_3	normal_breast_4	normal_breast_5	normal_breast_6
1552289_a_at	8.55968198483846	9.7951581106725	6.60227789407832	6.18307231551848	7.91964689120871	8.62442888346456	3.88930486196708	4.33646943447345	3.80864370402203	3.9095046478193	4.40196091062451	4.25182303225448
1552337_s_at	3.9091898942901	3.64847124824766	4.26526721259893	3.88584352042534	4.55772650716153	3.40224390566633	5.51329002897953	4.04862710928578	5.61145777115631	4.09592570330466	5.31464467314927	5.65012062473007
1552509_a_at	4.97591925500388	5.40763751091219	4.89621157429875	5.39053072910544	5.26296649580505	5.02123121079869	9.42693805936444	9.79394222378975	8.61829847125686	7.64224618679704	9.6608840313113	8.85021193053666
1552575_a_at	4.00013849819969	4.48222082225603	3.32024508884369	3.4201812917344	3.37382488890721	3.3936249736068	5.05454937988037	7.11125963504302	5.91586597852853	4.85800589858028	5.17206476217516	4.60412543041674
1552712_a_at	4.83851103715954	4.85556343884074	5.86985314591924	4.88213849637253	4.68555184687543	5.08905627897641	8.32818300135746	7.79840362533335	7.46538682146714	6.64255423750294	5.87722334968691	5.39703026755799
1552807_a_at	8.05141568780786	6.84643139129713	6.70296528155255	8.10637814160992	7.62760390120483	8.27034892271692	6.29765808226261	5.97362121872395	6.79857600186656	6.23737155914822	6.30131499284833	6.42066036720529
1553243_at	4.30854193689845	4.14817378067111	5.15027718768991	4.27340085530679	3.58677762382889	4.39207009331637	7.45718864153927	6.79184635836031	5.74666083590284	6.0266801118063	6.07280740358956	5.30962288843304
1554127_s_at	7.88007455533568	8.51250753932519	5.96112322052175	5.96536526415479	7.27561806071542	8.16526419973622	6.11733023050999	5.14553962670104	5.60612956199034	4.84232834691141	5.51601571530791	5.94307393835186
1554547_at	5.52361034680832	5.62232844633544	3.75595670962926	4.258164389354	6.26760444432346	4.16861119414362	7.8955534825198	8.23120390589011	6.65037109717983	7.9243939128881	7.75648529015152	8.4648727092493
1555123_at	5.0376998863588	4.16592705041832	2.75614337125852	3.19551197991463	4.00921814261789	2.59955739827078	2.43321338898064	2.41465351083531	2.47547023499405	2.70424311840565	2.53752500098254	2.23364813137618
1555411_a_at	6.58760728455322	5.65108180074358	6.7452390534417	6.10824225146608	6.34406794332394	6.22160375752525	8.86752504316757	8.21814214028248	8.46087591216111	8.22471105347073	6.86223454666714	7.23909211578046
1555724_s_at	8.20152038813003	7.43877995780242	6.76474404298975	7.51244159528244	8.87979372190158	8.6526322150655	5.65713317827389	5.85849177784385	5.67744695747516	7.64451937891854	7.45012248135992	6.51625093014692
1556029_s_at	3.23462049431444	2.91384040927184	3.47581945924182	2.69409755546385	2.7680313034582	2.57340515908371	3.96637078975255	5.84767809778893	4.96974527887921	4.28849764432066	4.59167936436901	2.72039754968973
1556055_at	4.1688317031041	4.90742260073089	5.04011630507431	4.51690274593993	3.94457124949028	4.55457109415416	5.50505585727351	5.50952718890159	6.68296613247673	4.53984545475438	6.34027146967737	5.07610289074832
1556128_a_at	8.41422892387662	8.93981347947713	7.36605462813826	7.37207597216731	8.00158585193262	7.10925689594979	5.86881623308145	6.62595507149948	6.0376666771686	6.92331266324391	7.50885232817817	5.96824854916425
1556185_a_at	2.36661508385389	2.63579048008115	2.48854357787056	2.5777219599277	3.28241965768115	3.17663061423224	4.39310895953985	5.11240789322338	3.22883985761763	4.65460935075993	5.68192338328051	5.45028706940567
1556314_a_at	5.61538268256698	4.11396506098983	4.59025977287899	5.63434797615491	4.81682369925072	3.28449350030367	6.60387837545522	7.06961181443689	4.76412598886844	5.87154216139851	6.50058598557233	7.83286183093037
1556323_at	5.53114862441591	5.15377075594997	6.95034292347236	6.6518223532361	4.86161257759398	5.36711777986004	7.88371100865361	6.3390320300851	7.11552373785897	6.35606552977453	6.89931346145071	6.4686988937655
